,ID,Name,ABV,Style,Is Retired
0,i5EwQe,Trip In The Woods,9.6,British Origin Ales,N
1,O9XhOw,RIPA,5.9,Irish Origin Ales,N
2,OGHzdU,SweetWater Road Trip,5.2,North American Lager,N
3,QFJ250,Blantons Barrel Aged Scotch Ale,11.3,British Origin Ales,N
4,UPDwhn,Reeb Rye'd PA,7,Hybrid/mixed Beer,N
5,BJymUV,Bitter Oats,10.5,North American Origin Ales,N
6,TvAG7D,Uncle Bert's Farm Market Red,5.6,North American Lager,N
7,6fJQfz,Fils À Papa V,8.5,Belgian And French Origin Ales,N
8,BJFSW8,Audition - Double IPA,8.5,North American Origin Ales,N
9,aWUHyv,Mozango (Fusion XXXI),9,North American Origin Ales,N
10,q5sbES,Beer Camp: Raspberry Sundae Ale,8,Hybrid/mixed Beer,N
11,AXkM1P,New England IPA,7.5,North American Origin Ales,N
12,aabOus,DogZilla Black IPA,6.9,North American Origin Ales,N
13,oBponF,Oculto,6,North American Lager,N
14,37s6fV,Say Sean Huell Melon Dry Hopped Saison,4,Belgian And French Origin Ales,N
15,NAfiYn,Pine-Apple-Rita,8,Malternative Beverages,N
16,zYJxUM,Cabin Fever,6.5,North American Origin Ales,N
17,RsGMGn,Festive Ale,8.5,Hybrid/mixed Beer,N
18,17KZDP,Bella Czech Pils,5.3,International Styles,N
19,ajbd6g,35th Anniversary  - Brewer's Reserve,8,British Origin Ales,N
20,dapUuF,Bigfoot (2016),9.6,North American Origin Ales,N
21,xw3Nti,Karaoke Fail,6.7,North American Origin Ales,N
22,Rj8PxJ,Hopfenweisse,5.7,Hybrid/mixed Beer,N
23,DmCMSF,London Calling English Porter Cask,5.3,North American Origin Ales,N
24,ePh6fw,Flipside Red IPA,6.2,North American Origin Ales,N
25,ztJYpI,Harp Lager,5,North American Lager,N
26,7z8RTq,3 Weight,4,North American Origin Ales,N
27,UPDwhn,Reeb Rye'd PA,7,Hybrid/mixed Beer,N
28,RsTK7E,Dude of York,4.5,British Origin Ales,N
29,9HcWSd,Bigfoot,9.6,North American Origin Ales,N
30,kzMoR5,Wild Thang,5,North American Origin Ales,N
31,7GLf2A,The White Buffalo,6,North American Origin Ales,N
32,U7lF72,Grass Monkey,5.4,Hybrid/mixed Beer,N
33,cOSoch,Dire Wolf,6.2,North American Origin Ales,N
34,fyj05b,Black IPA,6.9,North American Origin Ales,N
35,qACg0q,Oatmeal Stout ,5.5,British Origin Ales,N
36,1t3vFB,Chai Porter,5.6,British Origin Ales,N
37,K2y0MV,Trip In the Woods: Tequila-Barrel-Aged Otra Vez,7.5,British Origin Ales,N
38,8rc5kA,Wachusetts IPA,5.6,North American Origin Ales,N
39,TpeMIM,Witbier with Grapefruit,7,Hybrid/mixed Beer,N
40,0a0nmv,SweetWater Motor Boat,5.6,British Origin Ales,N
41,AJwGIV,Peach IPA,5.8,North American Origin Ales,N
42,4jKDXK,Beer Camp: West Coast DIPA,8.2,North American Origin Ales,N
43,TpiDMC,Brown Shugga',9.9,North American Origin Ales,N
44,YaI6zp,Fresh Hop - Mountain Series,6.2,North American Origin Ales,N
45,Hh3VFp,Cinnister Stout,5,North American Origin Ales,N
46,ZJJ8yY,Dragon's Milk Reserve: Cherry Chocolate,11,North American Origin Ales,N
47,HHG2Nn,Dragon's Milk Reserve with Coffee And Chocolate,11,North American Origin Ales,N
48,7gKo41,Grizzly Imperial Pale Ale,8.1,North American Origin Ales,N
49,3neLUw,Hoppy Amber Ale - Mountain Series,6.4,North American Origin Ales,N
50,oBALsi,Glissade Golden Bock,6.4,European-germanic Lager,N
51,i0Hy6x,Black Vapor,6,European-germanic Lager,N
52,J183HL,London Calling,3.2,British Origin Ales,N
53,DJcbV1,Bigfoot,9.6,North American Origin Ales,N
54,6f6SpY,Das Bij,5.6,Belgian And French Origin Ales,N
55,AdHXWs,Imperial Pils,8.6,North American Lager,N
56,xMjKhw,Wintertide Ale,6,Hybrid/mixed Beer,N
57,1unO6C,Autumn Ale,6,European-germanic Lager,N
58,Ydp0k0,Barrel-Aged Ten Fidy,12.9,North American Origin Ales,N
59,7aZN1V,Plum Gose,4.5,German Origin Ales,N
60,eJ0fVE,Tripel  Squared,9,Belgian And French Origin Ales,N
61,pDZET2,Night Tripper (2011),10.8,North American Origin Ales,N
