,Name,Score
0,420 Strain G13 IPA,4.28
1,Dinner,4.16
2,Alpenflo,3.9
3,Gooseberry Gose,4.1
4,German Style Wheat,3.5
5,Permutation Series #72: Pale Lager,4.02
6,Pulp Daddy,4.35
7,Bourbon County Brand Midnight Orange Stout,4.5
8,German Pilsner,3.75
9,#CarlBock,3.75
10,Just Tapped - Baltic Porter,4.53
11,Moment Of Clarity,4.85
12,"Somewhere, Something Incredible Is Waiting To Be Known - Marshmallow",4.93
13,Zephyr,3.94
14,Corkonian,3.67
15,Bears Hump Nut Brown,4.02
16,The Prophet,3.49
17,Lazy Hazer IPA,3.79
18,Fruit Cobbler,3.75
19,Pogo,4.67
20,Blacksmith India Black Ale,3.94
21,Strawberry Rhubarb,4.59
22,Revolver Blood And Honey,3
23,Augustiner Bräu Maximator,4.19
24,River Buddy Pale Ale,4.02
25,J.R.E.A.M. - Strawberry Rhubarb Pie,4.25
26,Weihenstephaner Hefeweissbier,4.57
27,Barracks Brown,4.09
28,Kuhnhenn Weiss Teufel (White Devil),4.11
29,Mirror Universe Hazy IPA,3.43
30,National Park Hefeweizen,4.13
31,Death By Coconut,3.88
32,Triple Shot - Batch 1000,4.94
33,Almost Relevant,3.96
34,3 Citrus Peel Out,3.78
35,Hoponius On Holiday,4.05
36,Section Hike Lager,4.04
37,Copper,4.13
38,Sosus,4.5
39,Omnipollo / 3 Sons Gideon's Pancake Stack,4.18
40,Leaves of Fate,4.07
41,Barrel Aged Axis Mundi,4.12
42,Oil Of Aphrodite,4.29
43,Glam,4.09
44,CBS (Canadian Breakfast Stout),4.27
45,Pale Session Ale,2.96
46,Pistachio Vanilla Cake,4.49
47,Mallow Mafia,4.12
48,Daisy Cutter Pale Ale,4.31
49,My Pony,3.87
