,ID,Name,ABV,Style,Is Retired
0,T1YdsG,Chocolate Pretzel Stout,5.2,Hybrid/mixed Beer,N
1,INJWpy,Imperial Stout,9.9,North American Origin Ales,N
2,ztJYpI,Harp Lager,5,North American Lager,N
3,JSTPos,Monkey King Saison Farmhouse Ale,6.6,Belgian And French Origin Ales,N
4,n8itvA,Maillard's Odyssey,8.5,North American Origin Ales,N
5,WQsARu,Bud Light Orange,4.2,North American Lager,N
6,HgMkeg,Bonnaroo Brew,4.8,Belgian And French Origin Ales,N
7,DsrVwL,Hibiscus Strawberry Gose,4,German Origin Ales,N
8,Pni8Jo,Hop Stoopid,8,North American Origin Ales,N
9,aSdzxF,Ten FIDY (2016),10.5,North American Origin Ales,N
10,h331gl,Beer Camp: White IPA with Yuzu,7,North American Origin Ales,N
11,dWISHQ,Lagunator,7.9,North American Lager,N
12,CtqQJb,Imperial Hatter,9.4,North American Origin Ales,N
13,0I5b84,Double DeBOCKel,9.4,European-germanic Lager,N
14,NRRfYP,Harbin Lager,5.5,European-germanic Lager,N
15,C7bzqV,Cranberry Kolsch,5,German Origin Ales,N
16,CD9BLy,Harmon Killerbrew,7.6,Irish Origin Ales,N
17,xjwBeb,Fall Ball Red,8,North American Origin Ales,N
18,Xv2EIK,Tequiza,4.5,Other Lager,Y
19,GTbXLB,Cambium,5.8,Hybrid/mixed Beer,N
20,lUt8yP,Charkoota Rye,8.4,European-germanic Lager,N
21,Wemgbs,Imperial Black IPA,7.3,North American Origin Ales,N
22,dS0wsG,Mango Mosaic Pale Ale,5.5,North American Origin Ales,N
23,qXs21b,Hop Smack Double,8.1,Hybrid/mixed Beer,N
24,G8qBXI,Super Cluster,8,North American Origin Ales,N
25,3dsDxX,Clean Sweep,3.5,North American Origin Ales,N
26,LOVCKl,Night Tripper Barrel Aged,10.8,North American Origin Ales,N
27,yjsHPX,Passion Fruit Milkshake Ipa,6.2,North American Origin Ales,N
28,Fhw2NF,7 Cities Pilsner,5,North American Lager,N
29,Zd8Cxd,American Summer Hoppy Wit,6,Belgian And French Origin Ales,N
30,04k0TG,Casper The Friendly Gose,5,German Origin Ales,N
31,FW35fB,High Life Light,4.5,North American Lager,N
32,cOSoch,Dire Wolf,6.2,North American Origin Ales,N
33,qGhR1j,Bud Ice,5.5,North American Lager,N
34,DvxCJ2,Barrel Aged Twenty Five,9.8,North American Origin Ales,N
35,pGqazY,Beer Camp Tropical IPA,6.7,North American Origin Ales,N
36,AXkM1P,New England IPA,7.5,North American Origin Ales,N
37,zqS7ze,Bigfoot,9.6,North American Origin Ales,N
