ID,Name,ABV,Style,Is Retired
00CxqR,Nut Brown Ale,5.2,North American Origin Ales,N
04k0TG,Casper The Friendly Gose,5,German Origin Ales,N
0a0nmv,SweetWater Motor Boat,5.6,British Origin Ales,N
0HZF08,Dark Swan,8.7,North American Origin Ales,N
0I5b84,Double DeBOCKel,9.4,European-germanic Lager,N
0j4t2Z,Pinnacle Peak Pale Ale,4.2,North American Origin Ales,N
0K21pW,Porter,5.6,British Origin Ales,N
0KEzfx,30th Anniversary - Fritz and Ken's Ale,9.2,North American Origin Ales,Y
0NyrGZ,Through the Brambles,6.3,Hybrid/mixed Beer,N
0oHOZv,Harvest Single Hop IPA - Idaho 7 Varietal,6.5,North American Origin Ales,N
0s57EN,Hash Brown,6.2,North American Origin Ales,N
0T4pOY,Bigfoot Barrel-Aged,12.2,North American Origin Ales,N
0tWTUV,Tmavé,5.4,European-germanic Lager,N
0UTcHS,Ripley Tripel,9.6,Belgian And French Origin Ales,N
14UQ4N,Snowman Stout,5.2,North American Origin Ales,N
17KZDP,Bella Czech Pils,5.3,International Styles,N
18Ki63,Barrel Aged Dale's Pale Ale (Makers Mark),6.5,North American Origin Ales,N
1B8Hrr,Willettized Imperial Coffee Stout,12.6,British Origin Ales,N
1C793t,Centennial Saison,6,Belgian And French Origin Ales,N
1cLpJP,Beerito,4,European-germanic Lager,N
1EDyEY,Smaug's Breath,11,British Origin Ales,N
1FBXjy,Fresh Hop IPA,6.4,North American Origin Ales,N
1HeKZM,Oatmeal Stout - Beer Camp #45,9,British Origin Ales,N
1LvpyW,Drink This IPA,6.1,North American Origin Ales,N
1P45iR,Budweiser,5,North American Lager,N
1qx64W,Shamrock'n Rye Ale,6.6,Hybrid/mixed Beer,N
1S3Le4,Single Hop Mosaic Double IPA,6.6,North American Origin Ales,N
1SYQ5O,Southern Gothic Session Pils,5.6,European-germanic Lager,N
1t3vFB,Chai Porter,5.6,British Origin Ales,N
1unO6C,Autumn Ale,6,European-germanic Lager,N
1XAbSf,Foam Pilsner,5.6,North American Lager,N
1yMrDb,Pils,6.2,European-germanic Lager,N
24mTU2,Blizzicane Bock,7.7,European-germanic Lager,N
24UMt9,Davey Murray's Best Scotch Ale,9.5,British Origin Ales,N
276GV8,Funkytown,6,Hybrid/mixed Beer,N
2ADEYR,Dale's Pale Ale Nitro,6.5,North American Origin Ales,N
2avhYf,Beer Camp: Dry-Hopped Berliner-Style Weisse,4.2,German Origin Ales,N
2Bxz64,Sundog,4.5,North American Origin Ales,N
2cLm8B,All Colorado Apricot Wheat,5.5,Hybrid/mixed Beer,N
2CRlqm,Bigfoot,9.6,North American Origin Ales,N
2EkHBG,NXS,6.5,North American Origin Ales,N
2FgZ04,Mountain Series: Salted Caramel Brown,6.5,North American Origin Ales,N
2mfXU8,Little Bohemia,5.3,Hybrid/mixed Beer,N
2NsDUk,Light IPA,4,North American Origin Ales,N
2rqlKs,Beer Camp 013: Old Cantankerous,6.6,British Origin Ales,N
2VR5QQ,Hop And Sour,4.4,North American Origin Ales,N
2wvRmF,Dragon's Milk Reserve with Toasted Chilies,11,North American Origin Ales,N
2YWln7,Gubna Imperial IPA,10,North American Origin Ales,N
2yXCVa,Sumpin' Easy Ale,5.7,North American Origin Ales,N
2z4qK8,Michigan Awesome Hatter,5.8,North American Origin Ales,N
2ZwqMd,Sour Inc: Apple Rhubarb,4.5,German Origin Ales,N
30zzKy,Busch Light,4.1,North American Lager,N
35wxef,Extra Stout,5.3,Irish Origin Ales,N
36DmYw,Lime-a-Rita,8,Malternative Beverages,N
37s6fV,Say Sean Huell Melon Dry Hopped Saison,4,Belgian And French Origin Ales,N
3Csw32,Liberty Blonde,4.9,North American Origin Ales,N
3dsDxX,Clean Sweep,3.5,North American Origin Ales,N
3JrTod,Beach Bum Blonde Ale,5.4,Belgian And French Origin Ales,N
3neLUw,Hoppy Amber Ale - Mountain Series,6.4,North American Origin Ales,N
3nrJLN,Four Hopsmen - Comet Dry Hopped,5.2,North American Origin Ales,N
3PGxCQ,Cuvée Jeune Homme,6.5,Hybrid/mixed Beer,N
3PXm6h,Nib Sip Chub,7,British Origin Ales,N
3tlrAU,Dragon’s Milk Reserve: Banana Coconut,11,North American Origin Ales,N
3wh93y,Chewbocka,6.2,European-germanic Lager,N
